09/15/1933,Waynesburg,6,Duquesne,18
09/16/1933,Texas Christian,33,Austin,0
09/16/1933,William & Mary,7,Roanoke,6
09/22/1933,Auburn,20,Birmingham-Southern,7
09/22/1933,San Francisco,7,Nevada,12
09/23/1933,Brigham Young,0,U.S. Marines,21
09/23/1933,Catawba,0,North Carolina State,7
09/23/1933,Central (Iowa),0,Iowa State,14
09/23/1933,Central Missouri State,0,Kansas,34
09/23/1933,Coe,7,Grinnell,6
09/23/1933,Cumberland,0,Vanderbilt,50
09/23/1933,Elon,0,Davidson,6
09/23/1933,Emory & Henry,20,Virginia Military Institute,0
09/23/1933,Gonzaga,0,Washington,13
09/23/1933,Hampden-Sydney,7,Virginia,7
09/23/1933,Linfield,0,Oregon,53
09/23/1933,Los Angeles Junior College,0,UCLA,34
09/23/1933,Maryville,2,Kentucky,46
09/23/1933,Mississippi,6,Rhodes,6
09/23/1933,Montana State,0,Utah,61
09/23/1933,North Texas,7,Southern Methodist,0
09/23/1933,Occidental,0,Southern California,39
09/23/1933,Ozarks,0,Arkansas,40
09/23/1933,Presbyterian,6,Clemson,6
09/23/1933,Roanoke,0,Virginia Tech,7
09/23/1933,San Diego State,0,UCLA,13
09/23/1933,San Jose State,0,Stanford,27
09/23/1933,Santa Clara,7,California,0
09/23/1933,Simpson,7,Drake,14
09/23/1933,Southern Oregon,0,Oregon State,21
09/23/1933,Texas,46,Southwestern (Texas),0
09/23/1933,Texas A&M-Kingsville,0,Rice,7
09/23/1933,Texas Christian,28,Daniel Baker,6
09/23/1933,Trinity (Texas),0,Texas A&M,38
09/23/1933,Washington & Lee,0,West Virginia,0
09/23/1933,Waynesburg,7,Bucknell,46
09/23/1933,West Chester,0,Villanova,45
09/23/1933,Whittier,0,Southern California,51
09/23/1933,Willamette,0,Oregon State,21
09/23/1933,William & Mary,12,Randolph-Macon,0
09/23/1933,Wofford,0,South Carolina,31
09/23/1933,Wyoming,33,Fort Warren,0
09/29/1933,Auburn,19,Samford,0
09/29/1933,Ball State,2,Butler,19
09/29/1933,Colorado College,9,Northern Colorado,7
09/29/1933,Eastern Michigan,0,Detroit Mercy,31
09/29/1933,Iowa State,18,Denver,13
