08/31/1989,Notre Dame,36,Virginia,13
09/02/1989,Akron,3,Virginia Tech,29
09/02/1989,Ball State,10,West Virginia,35
09/02/1989,Brigham Young,24,New Mexico,3
09/02/1989,Colorado State,14,Tennessee,17
09/02/1989,Duke,21,South Carolina,27
09/02/1989,Florida State,26,Southern Mississippi,30
09/02/1989,Fullerton State,17,Northern Illinois,26
09/02/1989,Furman,0,Clemson,30
09/02/1989,Houston,69,Nevada-Las Vegas,0
09/02/1989,Idaho,7,Washington State,41
09/02/1989,Kent,7,Eastern Michigan,30
09/02/1989,Louisiana State,16,Texas A&M,28
09/02/1989,Louisiana Tech,40,Louisiana-Lafayette,14
09/02/1989,Louisville,28,Wyoming,21
09/02/1989,Maryland,6,North Carolina State,10
09/02/1989,Mississippi,20,Memphis,13
09/02/1989,Montana State,17,Kansas,41
09/02/1989,New Mexico State,3,Oklahoma,73
09/02/1989,Northridge State,9,Long Beach State,28
09/02/1989,Ohio,18,Toledo,27
09/02/1989,Pacific,3,Pittsburgh,38
09/02/1989,Rice,35,Southern Methodist,6
09/02/1989,Rutgers,17,Cincinnati,17
09/02/1989,San Diego State,36,Air Force,52
09/02/1989,Stanford,3,Arizona,19
09/02/1989,Temple,24,Western Michigan,31
09/02/1989,Tulane,26,Hawaii,31
09/02/1989,Tulsa,23,Texas-El Paso,14
09/02/1989,Utah,22,Fresno State,52
09/02/1989,Vanderbilt,7,Mississippi State,42
09/04/1989,Illinois,14,Southern California,13
09/04/1989,Texas,6,Colorado,27
09/07/1989,Washington State,46,Brigham Young,41
09/09/1989,Appalachian State,15,Wake Forest,10
09/09/1989,Arizona,14,Texas Tech,24
09/09/1989,Arkansas State,17,Memphis,13
09/09/1989,Ball State,31,Rutgers,31
09/09/1989,Baylor,7,Oklahoma,33
09/09/1989,Bowling Green State,6,East Carolina,41
09/09/1989,California,19,Oregon,35
09/09/1989,Central Michigan,20,Louisiana-Lafayette,22
09/09/1989,Clemson,34,Florida State,23
09/09/1989,Colorado State,20,Colorado,45
09/09/1989,Georgia Tech,28,North Carolina State,38
09/09/1989,Indiana,14,Kentucky,17
09/09/1989,Kansas State,0,Arizona State,31
09/09/1989,Kent,7,Akron,40
09/09/1989,Lamar,21,Texas-El Paso,19
09/09/1989,Long Beach State,10,Hawaii,63
09/09/1989,Louisiana Tech,20,Western Michigan,24
09/09/1989,Louisville,33,Kansas,28
09/09/1989,Miami (Florida),51,Wisconsin,3
09/09/1989,Miami (Ohio),10,Purdue,27
09/09/1989,Mississippi,24,Florida,19
09/09/1989,Mississippi State,26,Southern Mississippi,23
09/09/1989,Montana,37,Fresno State,52
09/09/1989,New Mexico State,13,New Mexico,45
09/09/1989,Northern Illinois,17,Nebraska,48
09/09/1989,Northridge State,20,Fullerton State,27
09/09/1989,Northwestern,31,Duke,41
09/09/1989,Ohio,3,Iowa State,28
09/09/1989,Oklahoma State,10,Tulsa,20
09/09/1989,Pacific,0,Auburn,55
09/09/1989,Pittsburgh,29,Boston College,10
09/09/1989,Rice,19,Tulane,20
09/09/1989,Stanford,16,Oregon State,20
09/09/1989,Syracuse,43,Temple,3
09/09/1989,Tennessee,24,UCLA,6
09/09/1989,Texas A&M,6,Washington,19
09/09/1989,Texas Christian,10,Missouri,14
09/09/1989,Utah State,10,Utah,45
09/09/1989,Virginia,14,Penn State,6
09/09/1989,Virginia Military Institute,7,North Carolina,49
09/09/1989,Virginia Tech,17,South Carolina,17
09/09/1989,Weber State,12,Nevada-Las Vegas,16
09/09/1989,West Virginia,14,Maryland,10
09/09/1989,Youngstown State,3,Eastern Michigan,14
09/10/1989,Wyoming,7,Air Force,45
09/16/1989,Air Force,48,Northwestern,31
09/16/1989,Akron,27,Central Michigan,26
09/16/1989,Arkansas State,31,Mississippi,34
09/16/1989,Army,7,Syracuse,10
09/16/1989,Ball State,28,Bowling Green State,3
09/16/1989,Baylor,3,Georgia,15
