09/14/1968,Arkansas State,0,Western Michigan,20
09/14/1968,Buffalo,10,Iowa State,28
09/14/1968,Colorado State,21,New Mexico,13
09/14/1968,Furman,12,Mississippi College,21
09/14/1968,Georgia,17,Tennessee,17
09/14/1968,Idaho,14,Montana State,17
09/14/1968,Kent,10,Dayton,24
09/14/1968,Lamar,7,West Texas A&M,45
09/14/1968,Miami (Ohio),28,Xavier,7
09/14/1968,Morehead State,7,Marshall,7
09/14/1968,New Mexico State,12,Utah State,28
09/14/1968,North Carolina State,10,Wake Forest,6
09/14/1968,Northern Illinois,40,Ball State,20
09/14/1968,Parsons,7,East Carolina,37
09/14/1968,Richmond,14,Toledo,31
09/14/1968,Santa Barbara,14,Texas-El Paso,14
09/14/1968,Tulane,7,Houston,54
09/14/1968,Wyoming,10,Nebraska,13
09/20/1968,Northern Illinois,21,San Diego State,40
09/20/1968,Northwestern,7,Miami (Florida),28
09/21/1968,Air Force,20,Florida,23
09/21/1968,Arizona,21,Iowa State,12
09/21/1968,Ball State,8,Bowling Green State,62
09/21/1968,Baylor,36,Indiana,40
09/21/1968,Brigham Young,17,Western Michigan,7
09/21/1968,Buffalo,21,Kent,13
09/21/1968,California,21,Michigan,7
09/21/1968,Cincinnati,10,Texas Tech,10
09/21/1968,Citadel,14,Army,34
09/21/1968,Clemson,20,Wake Forest,20
09/21/1968,Colgate,28,Boston University,0
09/21/1968,Colorado State,0,Kansas State,21
09/21/1968,Davidson,13,Bucknell,22
09/21/1968,Duke,14,South Carolina,7
09/21/1968,Florida State,24,Maryland,14
09/21/1968,Houston,20,Texas,20
09/21/1968,Kansas,47,Illinois,7
09/21/1968,Lafayette,7,Rutgers,37
09/21/1968,Louisiana Tech,20,Mississippi State,13
09/21/1968,Louisville,33,Southern Illinois,10
09/21/1968,Marshall,8,Ohio,48
09/21/1968,Miami (Ohio),20,Pacific,21
09/21/1968,Mississippi,21,Memphis,7
09/21/1968,Missouri,6,Kentucky,12
09/21/1968,Navy,6,Penn State,31
09/21/1968,New Mexico,15,Texas-El Paso,44
09/21/1968,New Mexico State,20,North Texas,47
09/21/1968,North Carolina State,38,North Carolina,6
09/21/1968,Oklahoma,21,Notre Dame,45
09/21/1968,Oklahoma State,15,Arkansas,32
09/21/1968,Oregon,7,Colorado,28
09/21/1968,Oregon State,20,Iowa,21
09/21/1968,Pittsburgh,7,UCLA,63
09/21/1968,Presbyterian,9,Furman,13
09/21/1968,Quantico Marines,12,Xavier,28
09/21/1968,Rice,35,Washington,35
09/21/1968,Richmond,0,West Virginia,17
09/21/1968,San Jose State,20,Stanford,68
09/21/1968,Southern California,29,Minnesota,20
09/21/1968,Southern Methodist,37,Auburn,28
09/21/1968,Southern Mississippi,27,Southeastern Louisiana,15
09/21/1968,St. Joseph's (Pennsylvania),0,Dayton,57
09/21/1968,Syracuse,10,Michigan State,14
09/21/1968,Tampa,18,Santa Barbara,7
09/21/1968,Texas A&M,12,Louisiana State,13
09/21/1968,Texas Christian,7,Georgia Tech,17
09/21/1968,Toledo,45,Villanova,21
09/21/1968,Utah,0,Nebraska,31
09/21/1968,Utah State,3,Wyoming,48
09/21/1968,Virginia,6,Purdue,44
09/21/1968,Virginia Military Institute,12,Vanderbilt,25
09/21/1968,Virginia Tech,7,Alabama,14
09/21/1968,Washington State,14,Idaho,7
09/21/1968,Wichita State,0,West Texas A&M,26
09/21/1968,William & Mary,14,East Carolina,0
09/21/1968,Wisconsin,7,Arizona State,55
09/28/1968,Alabama,17,Southern Mississippi,14
