09/04/1975,Texas-Arlington,14,North Texas,27
09/06/1975,Drake,10,New Mexico State,14
09/06/1975,East Carolina,3,North Carolina State,26
09/06/1975,Eastern Michigan,14,Ball State,24
09/06/1975,Fresno State,49,Fullerton State,7
09/06/1975,Lamar,3,Houston,20
09/06/1975,Long Beach State,17,Louisiana-Lafayette,22
09/06/1975,Marshall,8,Akron,20
09/06/1975,Mississippi,10,Baylor,20
09/06/1975,Mississippi State,17,Memphis,7
09/06/1975,Northwestern State,0,Arkansas State,42
09/06/1975,Pacific,3,Louisiana-Monroe,3
09/06/1975,Penn State,26,Temple,25
09/06/1975,Pittsburgh,19,Georgia,9
09/06/1975,Southern Methodist,14,Wake Forest,7
09/06/1975,Texas-El Paso,10,San Diego State,31
09/06/1975,Villanova,0,Maryland,41
09/06/1975,West Texas A&M,7,Wichita State,13
09/06/1975,Western Carolina,31,Toledo,32
09/06/1975,Western Kentucky,27,Dayton,7
09/06/1975,Western Michigan,0,Central Michigan,34
09/06/1975,William & Mary,7,North Carolina,33
09/08/1975,Missouri,20,Alabama,7
09/12/1975,Duke,7,Southern California,35
09/13/1975,Air Force,0,Arkansas,35
09/13/1975,Akron,27,Western Michigan,21
09/13/1975,Bowling Green State,23,Brigham Young,21
09/13/1975,California,27,Colorado,34
09/13/1975,California-Davis,13,Pacific,31
09/13/1975,Colorado State,0,Texas,46
09/13/1975,Dayton,24,Eastern Kentucky,30
09/13/1975,Delaware,10,Virginia Military Institute,9
09/13/1975,East Carolina,25,Appalachian State,41
09/13/1975,Florida State,20,Texas Tech,31
09/13/1975,Fresno State,0,New Mexico,29
09/13/1975,Georgia Tech,17,South Carolina,23
09/13/1975,Holy Cross,7,Army,44
09/13/1975,Idaho,6,Arkansas State,23
09/13/1975,Idaho State,16,Wyoming,3
09/13/1975,Illinois,27,Iowa,12
09/13/1975,Indiana State,7,Eastern Michigan,30
09/13/1975,Iowa State,21,UCLA,37
09/13/1975,Kansas State,17,Tulsa,16
09/13/1975,Kent,31,Louisiana-Monroe,29
09/13/1975,Long Beach State,24,Northern Illinois,7
09/13/1975,Louisiana State,7,Nebraska,10
09/13/1975,Louisiana Tech,21,McNeese State,14
09/13/1975,Marshall,0,Miami (Ohio),50
09/13/1975,Maryland,8,Tennessee,26
09/13/1975,Memphis,31,Auburn,20
09/13/1975,Michigan,23,Wisconsin,6
09/13/1975,Minnesota,14,Indiana,20
09/13/1975,Mississippi,0,Texas A&M,7
09/13/1975,Navy,42,Virginia,14
09/13/1975,New Mexico State,31,Texas-El Paso,24
09/13/1975,North Texas,7,Drake,3
09/13/1975,Ohio,6,Central Michigan,6
09/13/1975,Ohio State,21,Michigan State,0
09/13/1975,Oregon,7,Oklahoma,62
09/13/1975,Presbyterian,0,Citadel,21
09/13/1975,Purdue,25,Northwestern,31
09/13/1975,Rice,24,Houston,7
09/13/1975,Richmond,6,Cincinnati,19
09/13/1975,San Diego State,25,Oregon State,0
09/13/1975,Santa Clara,0,San Jose State,13
09/13/1975,Southern Illinois,10,Louisiana-Lafayette,27
09/13/1975,Southern Methodist,14,Florida,40
09/13/1975,Southern Mississippi,14,Weber State,10
09/13/1975,Stanford,14,Penn State,34
09/13/1975,Temple,7,West Virginia,50
09/13/1975,Tennessee Tech,17,Furman,5
09/13/1975,Tennessee-Chattanooga,7,Vanderbilt,17
09/13/1975,Texas A&M-Kingsville,43,Hawaii,9
09/13/1975,Texas-Arlington,24,Texas Christian,7
09/13/1975,Toledo,28,Ball State,38
09/13/1975,Tulane,17,Clemson,13
09/13/1975,Utah State,13,Utah,7
09/13/1975,Villanova,17,Syracuse,24
09/13/1975,Virginia Tech,8,Kentucky,27
09/13/1975,Wake Forest,30,North Carolina State,22
09/13/1975,Washington,12,Arizona State,35
09/13/1975,Washington State,18,Kansas,14
09/13/1975,West Texas A&M,10,Lamar,8
09/13/1975,Western Illinois,17,Illinois State,7
09/13/1975,Western Kentucky,21,Louisville,17
09/13/1975,Wichita State,0,Oklahoma State,34
09/15/1975,Notre Dame,17,Boston College,3
09/19/1975,Oregon State,7,Southern California,24
09/20/1975,Air Force,12,Iowa State,17
09/20/1975,Akron,9,Dayton,31
09/20/1975,Appalachian State,19,Wake Forest,17
09/20/1975,Arizona State,33,Texas Christian,10
09/20/1975,Arkansas,13,Oklahoma State,20
09/20/1975,Arkansas State,24,McNeese State,7
09/20/1975,Auburn,10,Baylor,10
09/20/1975,Ball State,0,Ohio,10
09/20/1975,Boston College,27,Temple,9
09/20/1975,Brigham Young,17,Colorado State,21
09/20/1975,Bucknell,3,Rutgers,47
09/20/1975,Citadel,0,Colgate,16
09/20/1975,Clemson,0,Alabama,56
09/20/1975,Connecticut,7,Navy,55
09/20/1975,East Tennessee State,3,Texas-El Paso,6
09/20/1975,Eastern Kentucky,10,Tennessee-Chattanooga,10
09/20/1975,Eastern Michigan,27,Louisiana-Monroe,24
09/20/1975,Florida,7,North Carolina State,8
09/20/1975,Fullerton State,6,Long Beach State,32
09/20/1975,Furman,21,Richmond,27
09/20/1975,Grambling State,20,Hawaii,6
09/20/1975,Illinois State,14,Western Kentucky,24
09/20/1975,Indiana,0,Nebraska,45
09/20/1975,Indiana State,23,Southern Illinois,21
09/20/1975,Iowa,7,Syracuse,10
09/20/1975,Kansas,14,Kentucky,10
09/20/1975,Lehigh,32,Army,54
09/20/1975,Louisville,7,Drake,31
09/20/1975,Maryland,34,North Carolina,7
09/20/1975,Memphis,3,Cincinnati,13
09/20/1975,Miami (Florida),23,Georgia Tech,38
09/20/1975,Miami (Ohio),13,Michigan State,14
09/20/1975,Mississippi,3,Tulane,14
09/20/1975,Mississippi State,6,Georgia,28
09/20/1975,Missouri,30,Illinois,20
09/20/1975,Morehead State,19,Marshall,16
09/20/1975,New Mexico,17,Texas Tech,24
09/20/1975,New Mexico State,17,Lamar,14
09/20/1975,North Texas,12,San Diego State,30
09/20/1975,Northern Illinois,3,Northwestern,10
09/20/1975,Northern Michigan,17,Central Michigan,16
09/20/1975,Northridge State,13,Fresno State,7
09/20/1975,Notre Dame,17,Purdue,0
09/20/1975,Pacific,0,Arizona,16
09/20/1975,Penn State,9,Ohio State,17
09/20/1975,Pittsburgh,10,Oklahoma,46
09/20/1975,San Jose State,5,Oregon,0
09/20/1975,South Carolina,24,Duke,16
09/20/1975,South Dakota,7,Wisconsin,48
09/20/1975,Southern Mississippi,14,Bowling Green State,16
09/20/1975,Stanford,19,Michigan,19
09/20/1975,Tennessee,28,UCLA,34
09/20/1975,Texas,28,Washington,10
09/20/1975,Texas A&M,39,Louisiana State,8
09/20/1975,Texas-Arlington,8,Louisiana Tech,37
09/20/1975,Toledo,10,Villanova,14
09/20/1975,Tulsa,23,West Texas A&M,14
09/20/1975,Utah State,8,Florida State,17
09/20/1975,Vanderbilt,9,Rice,6
09/20/1975,Virginia Military Institute,21,Virginia,22
09/20/1975,Virginia Tech,11,Kent,17
09/20/1975,Washington State,30,Utah,14
09/20/1975,West Virginia,28,California,10
09/20/1975,Western Michigan,0,Minnesota,38
09/20/1975,Wichita State,0,Kansas State,32
09/20/1975,William & Mary,0,East Carolina,20
09/20/1975,Wyoming,10,Colorado,27
09/26/1975,Oklahoma,20,Miami (Florida),17
09/26/1975,Pacific,12,Long Beach State,28
09/27/1975,Alabama,40,Vanderbilt,7
09/27/1975,Appalachian State,23,Furman,30
09/27/1975,Arizona,14,Wyoming,0
09/27/1975,Arkansas State,29,Memphis,10
09/27/1975,Auburn,17,Tennessee,21
09/27/1975,Ball State,28,Miami (Ohio),35
09/27/1975,Baylor,14,Michigan,14
09/27/1975,Boston College,18,West Virginia,35
09/27/1975,Bowling Green State,21,Dayton,14
09/27/1975,Brigham Young,0,Arizona State,20
09/27/1975,California,33,Washington State,21
09/27/1975,Central Michigan,34,Toledo,27
09/27/1975,Central State,8,Akron,34
09/27/1975,Cincinnati,46,Louisville,27
09/27/1975,Clemson,28,Georgia Tech,33
09/27/1975,Colgate,24,Cornell,22
09/27/1975,Colorado State,27,New Mexico,16
09/27/1975,Columbia,7,Lafayette,10
09/27/1975,Connecticut,14,Yale,35
09/27/1975,Dartmouth,3,Massachusetts,7
09/27/1975,Davidson,0,Virginia Military Institute,55
09/27/1975,Drake,25,Louisiana-Monroe,38
09/27/1975,East Carolina,41,Southern Illinois,7
09/27/1975,Florida,27,Mississippi State,10
09/27/1975,Fresno State,34,Montana State,17
09/27/1975,Fullerton State,10,Cal Poly-San Luis Obispo,23
09/27/1975,Georgia,28,South Carolina,20
09/27/1975,Holy Cross,7,Harvard,18
09/27/1975,Illinois,13,Texas A&M,43
09/27/1975,Illinois State,3,Marshall,36
09/27/1975,Iowa State,10,Florida State,6
09/27/1975,Kansas State,17,Wake Forest,16
09/27/1975,Kent,21,Ohio,23
09/27/1975,Louisiana State,16,Rice,13
09/27/1975,Louisiana Tech,24,Lamar,10
