08/28/1994,Nebraska,31,West Virginia,0
08/29/1994,Fresno State,10,Ohio State,34
09/01/1994,Arizona,19,Georgia Tech,14
09/01/1994,Bowling Green State,15,North Carolina State,20
09/01/1994,Kansas,35,Houston,13
09/01/1994,Oklahoma State,31,Northern Illinois,14
09/01/1994,Washington State,10,Illinois,9
09/03/1994,Arkansas State,7,Virginia Tech,34
09/03/1994,Auburn,22,Mississippi,17
09/03/1994,Ball State,14,West Virginia,16
09/03/1994,Boston College,26,Michigan,34
09/03/1994,Brigham Young,13,Hawaii,12
09/03/1994,California-Davis,7,Pacific,24
09/03/1994,Central Michigan,21,Iowa,52
09/03/1994,Cincinnati,3,Indiana,28
09/03/1994,Colorado State,34,Air Force,21
09/03/1994,Eastern Michigan,3,Nevada-Las Vegas,17
09/03/1994,Furman,6,Clemson,27
09/03/1994,Georgia,24,South Carolina,21
09/03/1994,Georgia Southern,0,Miami (Florida),56
09/03/1994,Indiana State,17,Toledo,20
09/03/1994,Kent,6,Rutgers,28
09/03/1994,Louisiana Tech,3,Baylor,44
09/03/1994,Louisiana-Lafayette,6,Kansas State,34
09/03/1994,Louisiana-Monroe,13,Colorado,48
09/03/1994,Louisville,14,Kentucky,20
09/03/1994,Maryland,16,Duke,49
09/03/1994,Mississippi State,17,Memphis,6
09/03/1994,Navy,14,San Diego State,56
09/03/1994,New Mexico,31,Texas Tech,37
09/03/1994,New Mexico State,21,Florida,70
09/03/1994,Northern Arizona,27,Nevada,30
09/03/1994,Northern Iowa,28,Iowa State,14
09/03/1994,Notre Dame,42,Northwestern,15
09/03/1994,Oklahoma,30,Syracuse,29
09/03/1994,Oregon State,16,Arizona State,22
09/03/1994,Penn State,56,Minnesota,3
09/03/1994,Portland State,16,Oregon,58
09/03/1994,San Jose State,13,Fresno State,45
09/03/1994,Southern Methodist,14,Arkansas,34
09/03/1994,Southern Mississippi,25,Tulane,10
09/03/1994,Temple,32,Akron,7
09/03/1994,Tennessee,23,UCLA,25
09/03/1994,Tennessee-Chattanooga,13,Alabama,42
09/03/1994,Texas,30,Pittsburgh,28
09/03/1994,Texas A&M,18,Louisiana State,13
09/03/1994,Texas Christian,17,North Carolina,27
09/03/1994,Texas-El Paso,13,Wyoming,36
09/03/1994,Tulsa,20,Missouri,17
09/03/1994,Utah,32,Utah State,17
09/03/1994,Virginia,17,Florida State,41
09/03/1994,Wake Forest,14,Vanderbilt,35
09/03/1994,Washington,17,Southern California,24
09/03/1994,Western Michigan,28,Miami (Ohio),25
09/08/1994,Nebraska,42,Texas Tech,16
09/08/1994,Western Illinois,7,Western Michigan,43
09/10/1994,Appalachian State,10,Wake Forest,12
09/10/1994,Arkansas,0,South Carolina,14
09/10/1994,Arkansas State,0,Nevada,18
09/10/1994,Baylor,54,San Jose State,20
09/10/1994,Bowling Green State,45,Akron,0
09/10/1994,Brigham Young,45,Air Force,21
09/10/1994,California,20,San Diego State,22
09/10/1994,East Carolina,10,Duke,13
09/10/1994,Eastern Illinois,20,Texas-El Paso,22
09/10/1994,Eastern Michigan,0,Wisconsin,56
09/10/1994,Florida State,52,Maryland,20
09/10/1994,Fresno State,3,Washington State,24
09/10/1994,Holy Cross,3,Army,49
09/10/1994,Houston,7,Louisiana Tech,32
09/10/1994,Idaho State,0,Utah,66
09/10/1994,Iowa State,9,Iowa,37
09/10/1994,Kentucky,7,Florida,73
09/10/1994,Louisiana-Monroe,12,Auburn,44
09/10/1994,Louisville,16,Texas,30
09/10/1994,Memphis,42,Tulsa,18
09/10/1994,Miami (Florida),47,Arizona State,10
09/10/1994,Miami (Ohio),14,Indiana,35
09/10/1994,Michigan,26,Notre Dame,24
09/10/1994,Michigan State,10,Kansas,17
09/10/1994,Mississippi State,24,Louisiana State,44
09/10/1994,Missouri,0,Illinois,42
09/10/1994,Nevada-Las Vegas,23,Central Michigan,35
09/10/1994,New Mexico State,0,Arizona,44
09/10/1994,North Carolina State,29,Clemson,12
09/10/1994,Northern Illinois,9,Louisiana-Lafayette,29
09/10/1994,Ohio,16,Pittsburgh,30
09/10/1994,Ohio State,16,Washington,25
09/10/1994,Oklahoma,14,Texas A&M,36
09/10/1994,Oregon,16,Hawaii,36
09/10/1994,Pacific,7,Minnesota,33
09/10/1994,Southern California,14,Penn State,38
09/10/1994,Southern Illinois,3,Mississippi,59
09/10/1994,Southern Methodist,10,UCLA,17
09/10/1994,Stanford,41,Northwestern,41
09/10/1994,Syracuse,34,Cincinnati,19
09/10/1994,Tennessee,41,Georgia,23
09/10/1994,Texas Christian,44,New Mexico,29
09/10/1994,Toledo,17,Purdue,51
09/10/1994,Tulane,15,Rice,13
09/10/1994,Utah State,16,Colorado State,41
09/10/1994,Vanderbilt,7,Alabama,17
09/10/1994,Virginia,47,Navy,10
09/10/1994,Virginia Tech,24,Southern Mississippi,14
09/10/1994,West Virginia,12,Rutgers,17
09/10/1994,Western Carolina,26,Georgia Tech,45
09/10/1994,Wyoming,31,Oregon State,44
09/15/1994,Army,7,Duke,43
09/17/1994,Akron,16,Kent,32
09/17/1994,Alabama,13,Arkansas,6
09/17/1994,Ball State,21,Purdue,49
09/17/1994,Central Michigan,30,Eastern Michigan,29
09/17/1994,Cincinnati,17,Miami (Ohio),17
09/17/1994,Clemson,6,Virginia,9
09/17/1994,Colorado State,28,Brigham Young,21
09/17/1994,East Carolina,31,Temple,14
09/17/1994,Florida,31,Tennessee,0
09/17/1994,Florida State,56,Wake Forest,14
09/17/1994,Hawaii,21,California,7
09/17/1994,Idaho,48,Nevada-Las Vegas,38
09/17/1994,Indiana,59,Kentucky,29
09/17/1994,Iowa,21,Penn State,61
09/17/1994,Kansas,21,Texas Christian,31
09/17/1994,Liberty,37,Toledo,47
09/17/1994,Louisiana State,26,Auburn,30
09/17/1994,Louisiana Tech,6,South Carolina,31
09/17/1994,Louisiana-Monroe,6,Georgia,70
09/17/1994,Louisville,25,Arizona State,22
09/17/1994,Maryland,24,West Virginia,13
09/17/1994,Memphis,3,Southern Mississippi,20
09/17/1994,Mississippi,20,Vanderbilt,14
09/17/1994,Missouri,16,Houston,0
09/17/1994,Navy,21,Bowling Green State,59
09/17/1994,Nevada,27,Boise State,37
09/17/1994,New Mexico,31,Southern Methodist,34
09/17/1994,New Mexico State,23,Texas-El Paso,22
09/17/1994,Northern Illinois,10,Illinois,34
09/17/1994,Northwestern,14,Air Force,10
09/17/1994,Notre Dame,21,Michigan State,20
09/17/1994,Oklahoma State,10,Baylor,14
09/17/1994,Oregon State,14,Fresno State,24
09/17/1994,Pittsburgh,3,Ohio State,27
09/17/1994,Rice,18,Kansas State,27
09/17/1994,Rutgers,36,Syracuse,37
09/17/1994,San Diego State,17,Minnesota,40
09/17/1994,San Jose State,20,Stanford,51
09/17/1994,Southern Illinois,14,Arkansas State,41
09/17/1994,Texas State,7,Pacific,27
09/17/1994,Texas Tech,11,Oklahoma,17
09/17/1994,Troy,39,Louisiana-Lafayette,20
09/17/1994,Tulane,0,North Carolina,49
09/17/1994,Tulsa,7,Wyoming,17
09/17/1994,UCLA,21,Nebraska,49
09/17/1994,Utah,34,Oregon,16
09/17/1994,Utah State,5,Ohio,0
09/17/1994,Virginia Tech,12,Boston College,7
